"","LATITUDE","LONGITUDE","freq"
"19",42.2346,-71.138,20
"31",42.2356,-71.1372,13
"58",42.2374,-71.1397,13
"59",42.2374,-71.1382,32
"65",42.2381,-71.1353,11
"76",42.2389,-71.1347,13
"411",42.2538,-71.1195,13
"540",42.258,-71.1616,14
"547",42.2582,-71.1604,13
"551",42.2583,-71.1608,15
"556",42.2583,-71.123,18
"572",42.259,-71.1516,20
"651",42.2604,-71.1584,11
"653",42.2604,-71.1525,11
"690",42.2613,-71.1571,14
"710",42.2617,-71.1662,14
"762",42.2628,-71.155,18
"822",42.264,-71.1538,14
"851",42.2645,-71.1541,18
"1006",42.2673,-71.0935,12
"1009",42.2676,-71.1502,19
"1011",42.2676,-71.0938,11
"1025",42.268,-71.0935,11
"1038",42.2685,-71.1492,12
"1042",42.2686,-71.1495,21
"1058",42.2689,-71.1492,45
"1064",42.269,-71.1486,18
"1073",42.2693,-71.1487,11
"1123",42.2703,-71.148,13
"1129",42.2704,-71.1474,15
"1139",42.2706,-71.1472,56
"1154",42.2708,-71.1469,12
"1165",42.271,-71.1466,12
"1193",42.2714,-71.146,28
"1221",42.2717,-71.1457,12
"1236",42.2718,-71.1451,36
"1248",42.2719,-71.1454,66
"1266",42.2721,-71.1452,18
"1286",42.2723,-71.1445,21
"1294",42.2724,-71.1448,19
"1325",42.2729,-71.1437,29
"1363",42.2734,-71.0937,18
"1456",42.2748,-71.1686,11
"1529",42.2758,-71.1672,20
"1551",42.276,-71.1652,14
"1618",42.2768,-71.1409,13
"1660",42.2772,-71.167,35
"1728",42.2779,-71.1827,30
"1734",42.2779,-71.0852,12
"1777",42.2786,-71.1599,18
"1785",42.2787,-71.1803,13
"1821",42.279,-71.1593,14
"1828",42.2791,-71.1767,12
"1893",42.28,-71.1152,13
"1928",42.2806,-71.1681,11
"1940",42.2807,-71.1166,16
"1961",42.2809,-71.117,51
"1968",42.281,-71.1165,36
"1983",42.2812,-71.118,11
"1985",42.2812,-71.1174,15
"1995",42.2813,-71.1178,71
"1996",42.2813,-71.1168,15
"2007",42.2814,-71.1173,28
"2014",42.2815,-71.118,14
"2024",42.2816,-71.1176,17
"2090",42.2822,-71.1177,15
"2186",42.2831,-71.1328,12
"2209",42.2833,-71.1556,14
"2273",42.284,-71.1211,11
"2320",42.2844,-71.1303,14
"2360",42.2848,-71.1096,20
"2378",42.285,-71.1148,13
