"","Status","Source","LATITUDE","LONGITUDE","dt_close","dt_open","lag"
"4466","Closed","",42.3710357,-71.1103126,2015-01-05,2014-11-10,56
"4484","Closed","",42.3901439,-71.1420248,2015-01-12,2014-11-28,45
"4490","Closed","",42.3807694,-71.1094271,2015-01-12,2014-11-30,43
"4522","Closed","",42.3849405,-71.122944,2015-01-05,2014-12-09,27
"4550","Closed","",42.3934346,-71.1257788,2015-01-05,2014-12-18,18
"4553","Closed","",42.3641808,-71.1130758,2015-01-07,2014-12-18,20
"4555","Closed","",42.3726566,-71.1382031,2015-01-05,2014-12-19,17
"4566","Closed","",42.383667,-71.1167297,2015-01-05,2014-12-23,13
"4576","Closed","",42.3771983,-71.111447,2015-01-15,2014-12-26,20
"4578","Closed","",42.3581325,-71.112192,2015-01-02,2014-12-27,6
"4580","Closed","",42.377447,-71.1104267,2015-01-05,2014-12-29,7
"4585","Closed","",42.3806434,-71.1324987,2015-01-07,2014-12-30,8
"4586","Closed","",42.3647051,-71.1148319,2015-01-05,2015-01-01,4
"4587","Closed","",42.3751252,-71.1247588,2015-01-05,2015-01-02,3
"4588","Closed","",42.3760666,-71.1256875,2015-01-05,2015-01-02,3
"4589","Closed","",42.3753049,-71.1259987,2015-01-05,2015-01-02,3
"4590","Closed","",42.3769838,-71.1280555,2015-01-05,2015-01-02,3
"4591","Closed","",42.3760435,-71.1289116,2015-01-05,2015-01-02,3
"4592","Closed","",42.3759145,-71.128899,2015-01-05,2015-01-02,3
"4593","Closed","",42.3766058,-71.1270323,2015-01-05,2015-01-02,3
"4594","Closed","",42.3767821,-71.132009,2015-01-05,2015-01-02,3
"4595","Closed","",42.3762355,-71.1312521,2015-01-05,2015-01-02,3
"4596","Closed","",42.3762221,-71.1319133,2015-01-05,2015-01-02,3
"4597","Closed","",42.3761897,-71.1323925,2015-01-05,2015-01-02,3
"4598","Closed","",42.3762521,-71.1325909,2015-01-05,2015-01-02,3
"4599","Closed","",42.377773,-71.136621,2015-01-05,2015-01-02,3
"4600","Closed","",42.3787571,-71.1369868,2015-01-05,2015-01-02,3
"4601","Closed","",42.3790068,-71.1362233,2015-01-05,2015-01-02,3
"4602","Closed","",42.3789565,-71.1354243,2015-01-05,2015-01-02,3
"4603","Closed","",42.3729485,-71.1057058,2015-01-07,2015-01-02,5
"4604","Closed","",42.3726097,-71.1060757,2015-01-05,2015-01-02,3
"4605","Closed","",42.379566,-71.1314386,2015-01-05,2015-01-02,3
"4606","Closed","",42.3650657,-71.1107747,2015-01-07,2015-01-02,5
"4607","Closed","",42.3681262,-71.1090313,2015-01-07,2015-01-02,5
"4608","Closed","",42.3651694,-71.1128961,2015-01-07,2015-01-02,5
"4609","Closed","",42.3650738,-71.1108565,2015-01-07,2015-01-02,5
"4610","Closed","",42.3612344,-71.1043461,2015-01-07,2015-01-03,4
"4611","Closed","",42.3681262,-71.1090313,2015-01-07,2015-01-03,4
"4612","Closed","",42.3612747,-71.1101951,2015-01-07,2015-01-05,2
"4613","Closed","",42.3756172,-71.1056563,2015-01-14,2015-01-05,9
"4614","Closed","",42.3978899,-71.141879,2015-01-12,2015-01-06,6
"4615","Closed","",42.3663229,-71.1000884,2015-01-06,2015-01-06,0
"4616","Closed","",42.3578041,-71.1109153,2015-01-06,2015-01-06,0
"4617","Closed","",42.36503,-71.1123349,2015-01-06,2015-01-06,0
"4618","Closed","",42.3573846,-71.1100568,2015-01-06,2015-01-06,0
"4619","Closed","",42.3579172,-71.1132834,2015-01-06,2015-01-06,0
"4620","Closed","",42.3625112,-71.1093827,2015-01-06,2015-01-06,0
"4621","Closed","",42.364205,-71.1088539,2015-01-06,2015-01-06,0
"4622","Closed","",42.3665903,-71.1114558,2015-01-06,2015-01-06,0
"4623","Closed","",42.3641439,-71.1060158,2015-01-06,2015-01-06,0
"4624","Closed","",42.3616942,-71.1093954,2015-01-06,2015-01-06,0
"4625","Closed","",42.3667936,-71.106006,2015-01-06,2015-01-06,0
"4626","Closed","",42.3624443,-71.1016959,2015-01-06,2015-01-06,0
"4627","Closed","",42.3614406,-71.0945765,2015-01-06,2015-01-06,0
"4628","Closed","",42.3658567,-71.1059867,2015-01-06,2015-01-06,0
"4629","Closed","",42.3888027,-71.1196507,2015-02-05,2015-01-06,30
"4630","Closed","",42.3883165,-71.1194537,2015-01-14,2015-01-06,8
"4631","Closed","",42.3545817,-71.1040235,2015-01-07,2015-01-06,1
"4632","Closed","",42.3623693,-71.0850295,2015-01-06,2015-01-06,0
"4633","Closed","",42.3615618,-71.0852515,2015-01-06,2015-01-06,0
"4634","Closed","",42.3673922,-71.1047805,2015-01-06,2015-01-06,0
"4635","Closed","",42.3732942,-71.1126794,2015-01-06,2015-01-06,0
"4636","Closed","",42.3728321,-71.1210611,2015-01-06,2015-01-06,0
"4637","Closed","",42.3730983,-71.1230765,2015-01-06,2015-01-06,0
"4638","Closed","",42.3707303,-71.1110236,2015-01-06,2015-01-06,0
"4639","Closed","",42.3731363,-71.1222503,2015-01-06,2015-01-06,0
"4640","Closed","",42.3725809,-71.0828353,2015-01-14,2015-01-07,7
"4641","Closed","",42.3846326,-71.12277,2015-01-07,2015-01-07,0
"4642","Closed","",42.3614406,-71.0945765,2015-01-07,2015-01-07,0
"4643","Closed","",42.3652884,-71.0789787,2015-01-07,2015-01-07,0
"4644","Closed","",42.3782525,-71.1108064,2015-01-08,2015-01-07,1
"4645","Closed","",42.3841164,-71.1239614,2015-01-14,2015-01-07,7
"4646","Closed","",42.3827832,-71.1214587,2015-01-14,2015-01-07,7
